16,6250000,0.085,2.367
16,6250000,0.084,2.368
16,6250000,0.109,1.835
16,6250000,0.085,2.365
32,3125000,0.042,4.787
32,3125000,0.042,4.798
32,3125000,0.042,4.780
48,2083333,0.037,5.479
64,1562500,0.034,5.902
64,1562500,0.034,5.901
80,1250000,0.032,6.159
96,1041666,0.032,6.334
112,892857,0.031,6.457
144,694444,0.030,6.649
160,625000,0.030,6.716
192,520833,0.029,6.844
224,446428,0.029,6.924
272,367647,0.029,6.945
320,312500,0.028,7.024
384,260416,0.028,7.127
448,223214,0.028,7.168
528,189393,0.029,6.865
624,160256,0.029,6.957
736,135869,0.029,7.013
864,115740,0.028,7.078
1008,99206,0.039,5.077
1200,83333,0.028,7.172
1408,71022,0.032,6.340
1648,60679,0.050,3.990
1936,51652,0.052,3.854
2288,43706,0.052,3.870
2688,37202,0.049,4.114
3152,31725,0.048,4.203
3712,26939,0.048,4.163
4352,22977,0.050,3.971
5120,19531,0.049,4.054
6016,16622,0.048,4.205
7072,14140,0.048,4.161
8304,12042,0.049,4.114
9760,10245,0.053,3.788
11472,8716,0.063,3.175
13488,7413,0.064,3.127
15840,6313,0.075,2.666
18608,5374,0.082,2.437
21872,4572,0.084,2.371
25696,3891,0.084,2.374
30192,3312,0.085,2.358
35472,2819,0.085,2.346
41680,2399,0.084,2.372
48976,2041,0.084,2.372
57536,1738,0.085,2.360
67600,1479,0.085,2.360
79424,1259,0.085,2.359
93312,1071,0.084,2.371
109632,912,0.084,2.376
128816,776,0.084,2.376
151344,660,0.084,2.376
177824,562,0.085,2.357
208928,478,0.085,2.347
245456,407,0.084,2.375
288400,346,0.084,2.371
338832,295,0.084,2.368
398096,251,0.084,2.369
467728,213,0.084,2.376
549536,181,0.084,2.368
645648,154,0.087,2.294
758576,131,0.090,2.211
891248,112,0.087,2.294
1047120,95,0.094,2.113
1230256,81,0.107,1.855
1445424,69,0.122,1.630
1698240,58,0.147,1.342
1995248,50,0.185,1.077
2344224,42,0.202,0.973
2754224,36,0.206,0.962
3235936,30,0.205,0.947
3801888,26,0.212,0.932
4466832,22,0.208,0.944
5248064,19,0.213,0.937
6165936,16,0.238,0.828
