16,6250000,0.073,2.749
16,6250000,0.071,2.800
16,6250000,0.073,2.754
16,6250000,0.071,2.800
32,3125000,0.054,3.700
32,3125000,0.054,3.697
32,3125000,0.054,3.694
48,2083333,0.048,4.139
64,1562500,0.048,4.162
64,1562500,0.048,4.155
80,1250000,0.045,4.421
96,1041666,0.044,4.595
112,892857,0.043,4.703
144,694444,0.041,4.867
160,625000,0.041,4.934
192,520833,0.040,5.053
224,446428,0.039,5.181
272,367647,0.039,5.127
320,312500,0.038,5.330
384,260416,0.037,5.395
448,223214,0.038,5.322
528,189393,0.036,5.485
624,160256,0.036,5.518
736,135869,0.036,5.538
864,115740,0.036,5.588
1008,99206,0.040,5.048
1200,83333,0.036,5.633
1408,71022,0.039,5.068
1648,60679,0.054,3.682
1936,51652,0.055,3.641
2288,43706,0.054,3.698
2688,37202,0.054,3.723
3152,31725,0.053,3.762
3712,26939,0.054,3.716
4352,22977,0.055,3.657
5120,19531,0.057,3.518
6016,16622,0.053,3.756
7072,14140,0.054,3.734
8304,12042,0.054,3.682
9760,10245,0.058,3.422
11472,8716,0.061,3.259
13488,7413,0.070,2.874
15840,6313,0.079,2.530
18608,5374,0.083,2.405
21872,4572,0.084,2.370
25696,3891,0.084,2.369
30192,3312,0.084,2.369
35472,2819,0.085,2.354
41680,2399,0.085,2.353
48976,2041,0.085,2.350
57536,1738,0.085,2.357
67600,1479,0.086,2.338
79424,1259,0.084,2.371
93312,1071,0.085,2.359
109632,912,0.084,2.373
128816,776,0.085,2.365
151344,660,0.084,2.374
177824,562,0.084,2.373
208928,478,0.084,2.374
245456,407,0.084,2.369
288400,346,0.084,2.372
338832,295,0.092,2.175
398096,251,0.085,2.342
467728,213,0.087,2.296
549536,181,0.084,2.369
645648,154,0.084,2.369
758576,131,0.084,2.367
891248,112,0.085,2.335
1047120,95,0.092,2.156
1230256,81,0.103,1.926
1445424,69,0.123,1.625
1698240,58,0.153,1.289
1995248,50,0.191,1.046
2344224,42,0.191,1.029
2754224,36,0.215,0.922
3235936,30,0.212,0.917
3801888,26,0.212,0.932
4466832,22,0.206,0.954
5248064,19,0.209,0.953
6165936,16,0.221,0.891
7244352,13,0.199,0.945
8511376,11,0.196,0.955
10000000,10,0.220,0.909
16,6250000,0.072,2.795
16,6250000,0.071,2.800
16,6250000,0.071,2.798
16,6250000,0.071,2.800
32,3125000,0.054,3.697
32,3125000,0.054,3.694
32,3125000,0.054,3.691
48,2083333,0.048,4.133
64,1562500,0.048,4.176
64,1562500,0.048,4.182
80,1250000,0.043,4.676
96,1041666,0.044,4.588
112,892857,0.043,4.686
144,694444,0.041,4.877
160,625000,0.041,4.904
192,520833,0.040,5.052
224,446428,0.039,5.182
272,367647,0.038,5.274
320,312500,0.037,5.334
384,260416,0.037,5.384
448,223214,0.037,5.414
528,189393,0.036,5.486
624,160256,0.036,5.498
736,135869,0.036,5.534
864,115740,0.036,5.586
1008,99206,0.040,5.045
1200,83333,0.036,5.631
1408,71022,0.040,5.037
1648,60679,0.054,3.677
1936,51652,0.055,3.647
2288,43706,0.054,3.704
2688,37202,0.054,3.724
3152,31725,0.053,3.770
3712,26939,0.053,3.750
4352,22977,0.055,3.661
5120,19531,0.057,3.537
6016,16622,0.053,3.750
7072,14140,0.054,3.718
8304,12042,0.054,3.731
9760,10245,0.057,3.500
11472,8716,0.064,3.131
13488,7413,0.070,2.839
15840,6313,0.078,2.554
18608,5374,0.086,2.322
21872,4572,0.087,2.303
25696,3891,0.087,2.298
30192,3312,0.087,2.297
35472,2819,0.087,2.294
41680,2399,0.087,2.295
48976,2041,0.087,2.296
57536,1738,0.087,2.298
67600,1479,0.087,2.297
79424,1259,0.087,2.297
93312,1071,0.087,2.294
109632,912,0.087,2.298
128816,776,0.087,2.297
151344,660,0.087,2.293
177824,562,0.087,2.290
208928,478,0.087,2.296
245456,407,0.087,2.297
288400,346,0.087,2.284
338832,295,0.087,2.292
398096,251,0.087,2.284
467728,213,0.088,2.253
549536,181,0.088,2.260
645648,154,0.091,2.190
758576,131,0.108,1.844
891248,112,0.128,1.565
1047120,95,0.152,1.313
1230256,81,0.204,0.979
1445424,69,0.228,0.875
1698240,58,0.228,0.864
1995248,50,0.234,0.854
2344224,42,0.231,0.854
2754224,36,0.234,0.848
3235936,30,0.229,0.848
3801888,26,0.233,0.848
4466832,22,0.232,0.848
5248064,19,0.234,0.852
6165936,16,0.232,0.852
7244352,13,0.222,0.849
8511376,11,0.217,0.862
10000000,10,0.225,0.888
16,6250000,0.072,2.795
16,6250000,0.071,2.798
16,6250000,0.071,2.800
16,6250000,0.072,2.797
32,3125000,0.054,3.694
32,3125000,0.054,3.696
32,3125000,0.054,3.692
48,2083333,0.048,4.133
64,1562500,0.048,4.173
64,1562500,0.048,4.184
80,1250000,0.043,4.619
96,1041666,0.044,4.595
112,892857,0.043,4.690
144,694444,0.041,4.891
160,625000,0.041,4.921
192,520833,0.040,5.061
224,446428,0.039,5.150
272,367647,0.038,5.245
320,312500,0.038,5.305
384,260416,0.037,5.373
448,223214,0.037,5.395
528,189393,0.036,5.482
624,160256,0.036,5.497
736,135869,0.036,5.518
864,115740,0.036,5.553
1008,99206,0.040,5.030
1200,83333,0.036,5.622
1408,71022,0.040,5.058
1648,60679,0.054,3.696
1936,51652,0.055,3.649
2288,43706,0.054,3.709
2688,37202,0.054,3.734
3152,31725,0.053,3.755
3712,26939,0.053,3.743
4352,22977,0.055,3.649
5120,19531,0.057,3.527
6016,16622,0.053,3.748
7072,14140,0.055,3.663
8304,12042,0.058,3.474
9760,10245,0.059,3.372
11472,8716,0.064,3.120
13488,7413,0.069,2.898
15840,6313,0.080,2.507
18608,5374,0.085,2.347
21872,4572,0.085,2.346
25696,3891,0.086,2.321
30192,3312,0.086,2.322
35472,2819,0.086,2.321
41680,2399,0.086,2.321
48976,2041,0.086,2.316
57536,1738,0.086,2.322
67600,1479,0.086,2.318
79424,1259,0.086,2.318
93312,1071,0.086,2.317
109632,912,0.085,2.344
128816,776,0.086,2.333
151344,660,0.086,2.323
177824,562,0.086,2.329
208928,478,0.086,2.327
245456,407,0.086,2.327
288400,346,0.086,2.329
338832,295,0.086,2.333
398096,251,0.086,2.322
467728,213,0.086,2.309
549536,181,0.087,2.300
645648,154,0.087,2.294
758576,131,0.089,2.243
891248,112,0.102,1.958
1047120,95,0.135,1.473
1230256,81,0.194,1.027
1445424,69,0.206,0.970
1698240,58,0.217,0.906
1995248,50,0.224,0.889
2344224,42,0.219,0.898
2754224,36,0.219,0.905
3235936,30,0.222,0.875
3801888,26,0.226,0.876
4466832,22,0.225,0.872
5248064,19,0.221,0.902
6165936,16,0.218,0.907
7244352,13,0.201,0.936
8511376,11,0.206,0.911
10000000,10,0.212,0.943
16,6250000,0.072,2.796
16,6250000,0.072,2.795
16,6250000,0.071,2.799
16,6250000,0.071,2.799
32,3125000,0.054,3.695
32,3125000,0.055,3.657
32,3125000,0.054,3.691
48,2083333,0.048,4.135
64,1562500,0.048,4.168
64,1562500,0.048,4.186
80,1250000,0.043,4.648
96,1041666,0.044,4.593
112,892857,0.042,4.712
144,694444,0.041,4.898
160,625000,0.041,4.925
192,520833,0.040,5.059
224,446428,0.039,5.167
272,367647,0.038,5.272
320,312500,0.038,5.329
384,260416,0.037,5.390
448,223214,0.037,5.411
528,189393,0.036,5.494
624,160256,0.036,5.498
736,135869,0.036,5.535
864,115740,0.036,5.585
1008,99206,0.040,5.043
1200,83333,0.035,5.637
1408,71022,0.040,5.046
1648,60679,0.054,3.705
1936,51652,0.055,3.638
2288,43706,0.054,3.700
2688,37202,0.053,3.738
3152,31725,0.053,3.759
3712,26939,0.053,3.749
4352,22977,0.055,3.641
5120,19531,0.057,3.526
6016,16622,0.053,3.751
7072,14140,0.056,3.594
8304,12042,0.057,3.513
9760,10245,0.060,3.338
11472,8716,0.065,3.065
13488,7413,0.063,3.168
15840,6313,0.068,2.937
18608,5374,0.082,2.433
21872,4572,0.083,2.397
25696,3891,0.088,2.284
30192,3312,0.087,2.286
35472,2819,0.088,2.273
41680,2399,0.088,2.280
48976,2041,0.087,2.285
57536,1738,0.087,2.289
67600,1479,0.087,2.290
79424,1259,0.087,2.289
93312,1071,0.087,2.288
109632,912,0.087,2.290
128816,776,0.087,2.288
151344,660,0.087,2.290
177824,562,0.087,2.289
208928,478,0.087,2.289
245456,407,0.087,2.292
288400,346,0.087,2.290
338832,295,0.087,2.290
398096,251,0.087,2.285
467728,213,0.088,2.268
549536,181,0.088,2.273
645648,154,0.089,2.234
758576,131,0.091,2.172
891248,112,0.105,1.907
1047120,95,0.135,1.474
1230256,81,0.187,1.063
1445424,69,0.226,0.882
1698240,58,0.237,0.832
1995248,50,0.245,0.814
2344224,42,0.243,0.811
2754224,36,0.244,0.812
3235936,30,0.241,0.807
3801888,26,0.244,0.810
4466832,22,0.242,0.811
5248064,19,0.246,0.812
6165936,16,0.243,0.813
7244352,13,0.232,0.811
8511376,11,0.228,0.821
10000000,10,0.229,0.874
16,6250000,0.072,2.796
16,6250000,0.072,2.793
16,6250000,0.072,2.795
16,6250000,0.072,2.797
32,3125000,0.054,3.691
32,3125000,0.054,3.692
32,3125000,0.054,3.694
48,2083333,0.048,4.136
64,1562500,0.048,4.182
64,1562500,0.048,4.174
80,1250000,0.043,4.633
96,1041666,0.044,4.591
112,892857,0.042,4.717
144,694444,0.041,4.890
160,625000,0.041,4.920
192,520833,0.040,5.057
224,446428,0.039,5.173
272,367647,0.038,5.263
320,312500,0.038,5.332
384,260416,0.037,5.391
448,223214,0.037,5.411
528,189393,0.036,5.483
624,160256,0.036,5.493
736,135869,0.036,5.523
864,115740,0.036,5.557
1008,99206,0.040,5.014
1200,83333,0.036,5.593
1408,71022,0.040,5.053
1648,60679,0.054,3.712
1936,51652,0.055,3.649
2288,43706,0.054,3.706
2688,37202,0.053,3.744
3152,31725,0.053,3.763
3712,26939,0.053,3.752
4352,22977,0.055,3.656
5120,19531,0.057,3.532
6016,16622,0.053,3.756
7072,14140,0.054,3.731
8304,12042,0.053,3.752
9760,10245,0.053,3.753
11472,8716,0.059,3.411
13488,7413,0.069,2.905
15840,6313,0.076,2.628
18608,5374,0.085,2.341
21872,4572,0.086,2.315
25696,3891,0.086,2.314
30192,3312,0.086,2.317
35472,2819,0.086,2.314
41680,2399,0.086,2.314
48976,2041,0.087,2.310
57536,1738,0.086,2.316
67600,1479,0.086,2.313
79424,1259,0.086,2.318
93312,1071,0.086,2.316
109632,912,0.087,2.311
128816,776,0.086,2.316
151344,660,0.086,2.322
177824,562,0.086,2.317
208928,478,0.086,2.319
245456,407,0.086,2.313
288400,346,0.087,2.305
338832,295,0.087,2.307
398096,251,0.087,2.307
467728,213,0.087,2.282
