# N M B speedup l1_naiv l1_opt l2_naiv l2_opt l3_naiv l3_opt
2.000000000000000000e+02 1.000000000000000000e+05 4.460000000000000000e+02 1.610000000000000098e+00 2.130000000000000000e+08 2.126000000000000000e+08 2.522000000000000000e+08 1.887000000000000000e+07 1.329000000000000000e+08 1.326000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 1.020000000000000000e+02 9.799999999999999822e-01 2.584000000000000000e+07 1.894000000000000000e+07 1.374000000000000000e+07 1.460000000000000000e+07 1.351000000000000000e+07 1.350000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 5.600000000000000000e+01 2.109999999999999876e+00 2.126000000000000000e+08 2.357000000000000000e+07 2.724000000000000000e+08 1.735000000000000000e+07 1.536000000000000000e+08 1.576000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 4.000000000000000000e+01 1.040000000000000036e+00 1.063000000000000000e+09 1.296000000000000000e+08 1.071000000000000000e+09 8.808000000000000000e+07 6.253000000000000000e+07 6.444000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 4.360000000000000000e+02 1.010000000000000009e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.073000000000000000e+09 9.144000000000000000e+07 6.252000000000000000e+07 6.600000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 2.870000000000000000e+02 1.379999999999999893e+00 2.126000000000000000e+08 2.119000000000000000e+08 2.337000000000000000e+08 2.110000000000000000e+07 6.420000000000000000e+07 1.406000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.650000000000000000e+02 1.100000000000000089e+00 1.065000000000000000e+09 7.571000000000000000e+08 1.068000000000000000e+09 1.114000000000000000e+08 6.272000000000000000e+07 6.657000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 1.700000000000000000e+01 9.200000000000000400e-01 2.525000000000000000e+07 2.602000000000000000e+07 1.384000000000000000e+07 1.363000000000000000e+07 1.351000000000000000e+07 1.345000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 1.450000000000000000e+02 9.899999999999999911e-01 2.484000000000000000e+07 1.968000000000000000e+07 1.381000000000000000e+07 1.642000000000000000e+07 1.351000000000000000e+07 1.349000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 4.360000000000000000e+02 1.000000000000000000e+00 2.612000000000000000e+07 2.408000000000000000e+07 1.368000000000000000e+07 1.384000000000000000e+07 1.350000000000000000e+07 1.350000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 3.720000000000000000e+02 1.050000000000000044e+00 1.065000000000000000e+09 1.066000000000000000e+09 1.069000000000000000e+09 9.847000000000000000e+07 6.272000000000000000e+07 6.635000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.770000000000000000e+02 1.030000000000000027e+00 1.063000000000000000e+09 9.281000000000000000e+08 1.074000000000000000e+09 1.051000000000000000e+08 6.257000000000000000e+07 6.941000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 2.850000000000000000e+02 1.000000000000000000e+00 2.394000000000000000e+07 2.491000000000000000e+07 1.394000000000000000e+07 1.386000000000000000e+07 1.349000000000000000e+07 1.350000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 4.760000000000000000e+02 1.020000000000000018e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.074000000000000000e+09 8.848000000000000000e+07 6.247000000000000000e+07 6.378000000000000000e+07
