16,6250000,0.073,2.754
16,6250000,0.073,2.755
16,6250000,0.072,2.764
16,6250000,0.073,2.740
32,3125000,0.070,2.838
32,3125000,0.070,2.844
32,3125000,0.070,2.846
48,2083333,0.081,2.477
64,1562500,0.078,2.570
64,1562500,0.078,2.573
80,1250000,0.075,2.652
96,1041666,0.075,2.658
112,892857,0.075,2.681
144,694444,0.074,2.719
160,625000,0.073,2.737
192,520833,0.073,2.754
224,446428,0.072,2.767
272,367647,0.071,2.799
320,312500,0.071,2.813
384,260416,0.071,2.823
448,223214,0.071,2.832
528,189393,0.070,2.838
624,160256,0.070,2.845
736,135869,0.070,2.852
864,115740,0.070,2.858
1008,99206,0.070,2.861
1200,83333,0.070,2.865
1408,71022,0.071,2.819
1648,60679,0.078,2.563
1936,51652,0.078,2.564
2288,43706,0.078,2.562
2688,37202,0.078,2.560
3152,31725,0.078,2.563
3712,26939,0.078,2.565
4352,22977,0.083,2.407
5120,19531,0.089,2.260
6016,16622,0.078,2.565
7072,14140,0.078,2.579
8304,12042,0.078,2.576
9760,10245,0.079,2.519
11472,8716,0.081,2.457
13488,7413,0.082,2.446
15840,6313,0.088,2.269
18608,5374,0.099,2.013
21872,4572,0.101,1.990
25696,3891,0.100,1.994
30192,3312,0.100,1.992
35472,2819,0.100,1.993
41680,2399,0.100,1.993
48976,2041,0.100,1.999
57536,1738,0.101,1.990
67600,1479,0.100,2.000
79424,1259,0.100,1.995
93312,1071,0.100,1.991
109632,912,0.100,1.991
128816,776,0.101,1.988
151344,660,0.101,1.983
177824,562,0.101,1.983
208928,478,0.101,1.982
245456,407,0.104,1.930
288400,346,0.100,2.001
338832,295,0.100,2.005
398096,251,0.100,1.990
467728,213,0.101,1.974
549536,181,0.102,1.952
645648,154,0.107,1.853
758576,131,0.141,1.409
891248,112,0.132,1.508
1047120,95,0.151,1.320
1230256,81,0.172,1.162
1445424,69,0.203,0.984
1698240,58,0.219,0.900
1995248,50,0.217,0.920
2344224,42,0.222,0.886
2754224,36,0.225,0.880
3235936,30,0.218,0.890
3801888,26,0.220,0.898
4466832,22,0.217,0.904
5248064,19,0.236,0.844
6165936,16,0.223,0.886
7244352,13,0.212,0.887
8511376,11,0.206,0.911
10000000,10,0.223,0.896
16,6250000,0.080,2.493
16,6250000,0.074,2.703
16,6250000,0.074,2.714
16,6250000,0.074,2.712
32,3125000,0.071,2.800
32,3125000,0.071,2.799
32,3125000,0.071,2.802
48,2083333,0.083,2.413
64,1562500,0.079,2.519
64,1562500,0.079,2.541
80,1250000,0.077,2.603
96,1041666,0.077,2.594
112,892857,0.075,2.682
144,694444,0.074,2.718
160,625000,0.073,2.723
192,520833,0.072,2.764
224,446428,0.072,2.772
272,367647,0.071,2.800
320,312500,0.071,2.808
384,260416,0.071,2.819
448,223214,0.071,2.835
528,189393,0.071,2.804
624,160256,0.071,2.821
736,135869,0.070,2.855
864,115740,0.070,2.857
1008,99206,0.070,2.861
1200,83333,0.070,2.866
1408,71022,0.071,2.832
1648,60679,0.078,2.567
1936,51652,0.078,2.569
2288,43706,0.078,2.567
2688,37202,0.078,2.574
3152,31725,0.078,2.574
3712,26939,0.078,2.575
4352,22977,0.083,2.402
5120,19531,0.088,2.261
6016,16622,0.078,2.577
7072,14140,0.078,2.576
8304,12042,0.079,2.522
9760,10245,0.080,2.515
11472,8716,0.081,2.459
13488,7413,0.083,2.422
15840,6313,0.091,2.203
18608,5374,0.099,2.017
21872,4572,0.099,2.012
25696,3891,0.099,2.020
30192,3312,0.099,2.027
35472,2819,0.100,2.005
41680,2399,0.099,2.029
48976,2041,0.099,2.020
57536,1738,0.099,2.021
67600,1479,0.099,2.026
79424,1259,0.099,2.024
93312,1071,0.099,2.026
109632,912,0.106,1.887
128816,776,0.099,2.011
151344,660,0.099,2.017
177824,562,0.098,2.030
208928,478,0.098,2.028
245456,407,0.098,2.029
288400,346,0.098,2.030
338832,295,0.099,2.026
398096,251,0.099,2.015
467728,213,0.099,2.018
549536,181,0.099,2.019
645648,154,0.099,2.018
758576,131,0.099,2.008
891248,112,0.106,1.881
1047120,95,0.112,1.776
1230256,81,0.117,1.708
1445424,69,0.132,1.516
1698240,58,0.150,1.314
1995248,50,0.172,1.158
2344224,42,0.199,0.991
2754224,36,0.211,0.939
3235936,30,0.202,0.963
3801888,26,0.206,0.960
4466832,22,0.211,0.933
5248064,19,0.207,0.963
6165936,16,0.202,0.975
7244352,13,0.201,0.936
8511376,11,0.192,0.973
10000000,10,0.207,0.968
16,6250000,0.074,2.706
16,6250000,0.074,2.710
16,6250000,0.074,2.711
16,6250000,0.074,2.711
32,3125000,0.072,2.793
32,3125000,0.072,2.795
32,3125000,0.072,2.795
48,2083333,0.082,2.434
64,1562500,0.079,2.531
64,1562500,0.079,2.532
80,1250000,0.077,2.595
96,1041666,0.076,2.637
112,892857,0.075,2.673
144,694444,0.074,2.711
160,625000,0.073,2.726
192,520833,0.073,2.755
224,446428,0.072,2.769
272,367647,0.072,2.789
320,312500,0.071,2.803
384,260416,0.071,2.808
448,223214,0.071,2.816
528,189393,0.071,2.827
624,160256,0.070,2.837
